pubKey,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,tiebreaker,#num won
7EC2T4mvzQog8i6HtKUmAPsmoWhCYcXkJcNcHZxWSsE6,Ravens,Browns,Commanders,Colts,Buccaneers,Giants,Steelers,Rams,49ers,Bengals,Broncos,Cardinals,Packers,Bills,Eagles,48,9000
EsRkFfvtqPJtRBvYeg1HDsd1ruratCfbe9DmvPyqwFBe,Ravens,Browns,Commanders,Colts,Buccaneers,Panthers,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,48,6000
9radAHjy5tMo42FgFnLWRTNpeaZqfYNyTnnTFxkqnApj,Ravens,Browns,Commanders,Colts,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,49,8000
6KeW5X32HxvGqteWYkuhxjd3dyhuv9ZTSsaLkJVi3q6Y,Ravens,Browns,Commanders,Colts,Buccaneers,Giants,Steelers,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Vikings,51,6000
DSXiofARsarG5KYwh7tmk6TwtipURshcZNk8tEEhhQib,Ravens,Browns,Commanders,Colts,Buccaneers,Giants,Steelers,Rams,Seahawks,Bengals,Texans,Cardinals,Packers,Titans,Vikings,58,5000
7t2kMM4L3REDTik3xrr2LB7f7UtrjNGvLUHj2C3tKPCv,Dolphins,Jets,Commanders,Colts,Buccaneers,Giants,Steelers,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Vikings,41,8000
CAZiAdEgNcDVqvNiTQToDCVTj6GGMAa7bZfSe6mVkrAL,Dolphins,Browns,Commanders,Colts,Buccaneers,Panthers,Steelers,Rams,Seahawks,Bengals,Texans,Raiders,Packers,Bills,Vikings,37,5000
CLXvVWtJi2Ti8YA4GYx3CbrpgRZDRPtzLqYaeoS6CXN2,Ravens,Browns,Lions,Colts,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,10000
5JHFbpeugyBpArqF4ot6EYxbhiByFPfgzdHcqc6UvLE2,Dolphins,Jets,Lions,Colts,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,55,12000
DPcU8XijSrT8XRjodHoZQaC85ZCQdJop3bPBcmBexrUF,Dolphins,Browns,Lions,Colts,Saints,Giants,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,51,9000
DxN7Tawr7eyzYYGgJEojQZnaLu6bDw4wDK8oiAzVUnZL,Dolphins,Browns,Commanders,Jaguars,Saints,Panthers,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Bears,Titans,Eagles,21,6000
7B2XcuoYzN2jMkaiGj6gaUrs8SbQPrNfZu264ptbvevs,Ravens,Browns,Commanders,Colts,Buccaneers,Giants,Steelers,Rams,Seahawks,Bengals,Broncos,Raiders,Bears,Bills,Eagles,44,6000
EXiGL5EK3BEhFSP1ekkcHHRe4Fpgfty7gHA59rfuG73m,Ravens,Browns,Commanders,Colts,Saints,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,8000
HpdR4dANV5kzA4FD2dHkcE9CkRNacusD3kMQrptCZeWj,Dolphins,Browns,Lions,Colts,Saints,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,9000
2sFgUj9EVTDkbD1Xnm5EuUzSE1g37r7ghHtyMgcXezVa,Ravens,Jets,Commanders,Jaguars,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,11000
FKwDssUeLh6YFkGBfJ47p1KiqrZTLYVuV3MeVxxEZ7Yc,Dolphins,Browns,Commanders,Colts,Buccaneers,Panthers,Steelers,Rams,49ers,Bengals,Broncos,Cardinals,Packers,Bills,Vikings,44,8000
2yRJZTZ7eo35caSYU55fXdLjD1v4tsAkK9QivcHcrY8Z,Dolphins,Browns,Lions,Colts,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,45,9000
HPEXjuzMjfsReaGcXhqkmndyxHnQ7V1AJNMznRuKZd4i,Ravens,Browns,Commanders,Jaguars,Buccaneers,Giants,Steelers,Rams,49ers,Bengals,Texans,Cardinals,Packers,Bills,Vikings,36,8000
GapKqefWtpzNaMPMB6BWXt5Ad9E99RX2muyVLoK8hJt8,Ravens,Browns,Lions,Jaguars,Saints,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,9000
Hy3sG7cPwPCNCmYmvAdW3oGWANyt4JtWAUFHdG8TkvV8,Dolphins,Browns,Lions,Jaguars,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Texans,Raiders,Packers,Bills,Vikings,8,10000
CAovPH2QdGQzZCJUAYz7R61342JRLsxFxRMxMBb8KUro,Ravens,Browns,Lions,Colts,Buccaneers,Giants,Steelers,Rams,49ers,Bengals,Texans,Raiders,Packers,Bills,Eagles,28,8000
HtWcgVbzEVpqSioCND4cowYsLpXcsSusuATdjYt1Wgmc,Ravens,Browns,Commanders,Colts,Buccaneers,Panthers,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,48,7000
6SmUiVkgaGffvyfxmYRtoqpNBhGdSfpqvU1hqkmco1g7,Dolphins,Browns,Commanders,Jaguars,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Bears,Titans,Eagles,58,9000
285DrwMSW1LuPfetmq9H122wNEWEYMTcdAraRJi65c8p,Dolphins,Browns,Lions,Colts,Buccaneers,Panthers,Patriots,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Eagles,45,9000
GX4io1yXtFZKwLRAr6iEQQ5ecZqWLjwmTCa7XWP4UVwA,Ravens,Jets,Commanders,Jaguars,Buccaneers,Panthers,Patriots,Rams,Seahawks,Cowboys,Texans,Raiders,Bears,Titans,Vikings,1,6000
AmFMKuJQ3BvoxF4aVJxqdnJGPHb7Zv6fQy9aDVqV1qvV,Ravens,Browns,Commanders,Jaguars,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,52,8000
2NWHmQmqxxsDfL9Ts3k59EdjYkadZWEaqAVMbEfEJLaW,Ravens,Browns,Lions,Jaguars,Saints,Giants,Steelers,Rams,49ers,Cowboys,Broncos,Raiders,Packers,Bills,Eagles,35,10000
7CUFu7Hyy5mVi5wkhuzjJSs2PpursWYXMVfi4P66PksL,Ravens,Browns,Lions,Colts,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,50,9000
ARxzW9chM1wNFFGMWxvakCP86JB1KUiHm31dCEvJcJyx,Ravens,Browns,Commanders,Colts,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Cardinals,Packers,Bills,Eagles,34,9000
GXU5pDwfzfnsBG9aRQZGtrK3QrvRSbXaETVeXsNc1a3u,Ravens,Browns,Lions,Colts,Buccaneers,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,43,9000
JDwhn25MCxiwvbBU4nx2yUWgBDS2qRuGtRNwcVj891wk,Ravens,Browns,Lions,Colts,Buccaneers,Giants,Steelers,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Eagles,42,8000
ZCUH8HYhh4k8aES4Lpi3B8As3L6oc3xxx36pgZTDMMu,Dolphins,Browns,Lions,Jaguars,Saints,Panthers,Steelers,Rams,Seahawks,Bengals,Broncos,Raiders,Bears,Bills,Eagles,49,7000
4xeSPJVbpoX9JNuTbr3cLz94xV3JJ578RsMbxV3GiEut,Dolphins,Jets,Lions,Colts,Buccaneers,Panthers,Patriots,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Vikings,55,9000
H3EXxwa2cQzH2tW9AMsYRmMpQHcRa3YNsg44AoSeRxuk,Ravens,Browns,Commanders,Colts,Buccaneers,Giants,Patriots,Rams,Seahawks,Bengals,Broncos,Raiders,Packers,Bills,Eagles,54,8000
2PLHBzdoTAEUhNaejxnhTbk6CLHH5AAAdmXnnaUnwUcH,Dolphins,Browns,Commanders,Jaguars,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,55,9000
3D41UkEHECosrZrbM79fmex91MPhHNrAbNUFgtTDeu3r,Ravens,Browns,Lions,Jaguars,Saints,Giants,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,50,9000
EF7A95MSswNpnhKbRHvygb21d6D8HpDX4o7kBM5gtLS6,Dolphins,Browns,Commanders,Jaguars,Saints,Giants,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,46,10000
6FjP4YovrfDFb4Td66GtqXxrxznPYULUbGVt955RAV8s,Ravens,Browns,Commanders,Jaguars,Buccaneers,Giants,Patriots,Rams,Seahawks,Bengals,Broncos,Cardinals,Packers,Bills,Eagles,55,10000
FD1HDB4e95Ei2NSEoVw6tnHDHnuMtYTFMuL6oXSsK3VS,Dolphins,Browns,Lions,Colts,Buccaneers,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Eagles,42,10000
9bS6N6ZKkjB9nceprvrpsRcGYgVGWzeUXobx5D3FLzA1,Ravens,Browns,Lions,Colts,Saints,Giants,Steelers,Rams,49ers,Bengals,Broncos,Raiders,Packers,Bills,Vikings,56,7000
8zwZ3g7VBqmdkfX9kDxGSFfoGu2AJJC5agQgUXRLfajP,Ravens,Browns,Commanders,Colts,Saints,Panthers,Patriots,Rams,49ers,Bengals,Broncos,Cardinals,Packers,Bills,Eagles,52,8000
